Tanggal;Waktu;Tegangan;Arus;SOC;Temperature;VCell_Max;VCell_Min;Max_Del_V;Avg_Del_V
2020-3-13;9:53:1;57,99;-6,38;61,0;49,0;3,901;3,800;0,100;0,066;
2020-3-13;9:53:2;57,99;-6,44;61,0;49,0;3,901;3,800;0,100;0,066;
2020-3-13;9:53:2;58,07;-6,38;61,0;49,0;3,915;3,820;0,095;0,052;
2020-3-13;9:53:3;58,01;-6,44;61,0;49,0;3,934;3,789;0,145;0,079;
2020-3-13;9:53:3;58,01;-6,44;61,0;49,0;3,934;3,789;0,145;0,079;
2020-3-13;9:53:4;58,12;-6,44;61,0;49,0;3,990;3,774;0,216;0,101;
2020-3-13;9:53:4;57,88;-6,44;61,0;49,0;3,910;3,827;0,082;0,037;
2020-3-13;9:53:5;57,88;-6,44;61,0;49,0;3,910;3,827;0,082;0,031;
2020-3-13;9:53:5;57,97;-6,38;61,0;49,0;3,930;3,770;0,160;0,095;
2020-3-13;9:53:6;58,01;-6,38;61,0;49,0;3,942;3,817;0,124;0,050;
2020-3-13;9:53:6;58,01;-6,44;61,0;49,0;3,942;3,817;0,124;0,050;
2020-3-13;9:53:7;57,85;-6,38;61,0;49,0;3,929;3,757;0,173;0,100;
2020-3-13;9:53:7;58,06;-6,44;61,0;49,0;3,939;3,810;0,129;0,057;
2020-3-13;9:53:8;58,06;-6,44;61,0;49,0;3,939;3,812;0,127;0,059;
2020-3-13;9:53:8;57,89;-6,44;61,0;49,0;3,931;3,756;0,174;0,103;
2020-3-13;9:53:9;57,89;-6,44;61,0;49,0;3,931;3,756;0,174;0,103;
2020-3-13;9:53:9;58,00;-6,38;61,0;49,0;3,921;3,812;0,109;0,055;
2020-3-13;9:53:10;57,94;-6,44;61,0;49,0;3,956;3,801;0,155;0,062;
2020-3-13;9:53:10;57,94;-6,38;61,0;49,0;3,956;3,801;0,155;0,062;
2020-3-13;9:53:11;57,93;-6,44;61,0;49,0;3,932;3,792;0,140;0,070;
2020-3-13;9:53:11;57,94;-6,44;61,0;49,0;3,958;3,782;0,176;0,081;
2020-3-13;9:53:12;57,94;-6,44;61,0;49,0;3,958;3,782;0,176;0,081;
2020-3-13;9:53:12;57,86;-6,44;61,0;49,0;3,924;3,784;0,140;0,074;
2020-3-13;9:53:13;57,95;-6,44;61,0;49,0;3,927;3,798;0,129;0,068;
2020-3-13;9:53:13;57,95;-6,44;61,0;49,0;3,961;3,789;0,172;0,074;
2020-3-13;9:53:14;58,01;-6,44;61,0;49,0;3,932;3,802;0,131;0,066;
2020-3-13;9:53:14;58,05;-6,44;61,0;49,0;3,980;3,782;0,198;0,088;
2020-3-13;9:53:15;58,05;-6,38;61,0;49,0;3,980;3,782;0,198;0,088;
2020-3-13;9:53:15;58,29;-6,44;61,0;49,0;3,957;3,808;0,149;0,079;
2020-3-13;9:53:16;58,12;-6,44;61,0;49,0;3,959;3,814;0,145;0,061;
2020-3-13;9:53:16;58,12;-6,38;61,0;49,0;3,959;3,814;0,145;0,061;
