Tanggal;Waktu;Tegangan;Arus;SOC;Temperature;VCell_Max;VCell_Min;Max_Del_V;Avg_Del_V
2020-4-5;15:46:26;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:27;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:27;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:28;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:28;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:29;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:29;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:30;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:30;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:31;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:31;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:32;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:32;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:33;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:33;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:34;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:34;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:35;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:35;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:36;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:36;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
